B365H,B365D,B365A,FCTH,FCTD,FCTA,L5GH,L5GA,GSPMH,GSPMA,GCPMH,GCPMA,CSH,CSA,CFGH,CAGH,CFGA,CAGF,BPH,BPA,L5MH,L5MD,L5MA
1.88,3.5,3.55,1.9,3.5,3.75,2.17,1.5,1.62,1.6,1.29,1.49,0.24,0.17,4.91,5.13,4.44,5.16,0.4,0.48,0,0,0
2.75,3.25,2.44,2.7,3.25,2.5,1.33,1.17,1.47,1.57,1.12,1.29,0.26,0.29,6.21,3.67,4.46,4.03,0.48,0.53,1,0,0
2.19,3.25,2.95,2.25,3.4,3,0.33,1.33,1.03,1.23,1.48,2,0.27,0.13,5.13,4.39,4.14,5.24,0.54,0.46,0,0,1
2.75,3.25,2.46,2.7,3.25,2.5,1.33,1.83,1.55,2,0.97,2,0.39,0.32,5,4.74,4.66,4.41,0.49,0.5,1,2,2
2.5,3.15,3,2.5,3.1,2.9,1.17,1.83,1.18,1.42,1.21,1.35,0.39,0.29,4.58,4.97,6.77,4.35,0.46,0.47,1,1,2
2.03,3,3.65,1.95,2.9,3.8,0.67,1.33,0.67,1.11,1.17,1.33,0.42,0.11,3.83,4.92,4.22,5.11,0.56,0.51,0,1,4
2.32,3,2.9,2.4,3.2,3,1.17,0.83,1.08,0.81,1.16,0.69,0.28,0.5,3.11,4.21,4,5.56,0.5,0.51,0,3,2
3.25,3.4,2.23,3.25,3.4,2.2,0.67,1.67,1.33,1.58,1.18,0.97,0.3,0.39,5.48,5.76,5.38,4.55,0.48,0.48,2,0,3
2.8,3.6,2.24,2.9,3.6,2.2,1.5,0.83,1.66,1.4,0.88,1.63,0.53,0.17,5.6,5.7,6.41,5.06,0.57,0.48,3,1,1
2.39,3.6,2.9,2.37,3.5,2.87,1.5,1.83,1.43,1.43,1.13,1.13,0.26,0.22,5.23,5.14,5.52,4.65,0.52,0.46,1,2,2
2.95,3.3,2.19,3.1,3.25,2.25,1.83,1.67,1.61,0.88,1.5,1.19,0.19,0.16,4.06,5.26,5.23,4.94,0.45,0.6,0,0,0
2.65,3.2,2.85,2.6,3.2,2.8,0.83,1.5,1.13,1.4,1.33,1.04,0.38,0.36,4.25,5.5,4.28,5.24,0.41,0.42,2,2,0
2.55,3.35,2.55,2.6,3.25,2.6,1.5,1.17,1.74,1.52,1.26,0.94,0.29,0.42,4.31,6.5,5.07,4.57,0.52,0.49,0,0,0
2.7,3.15,2.41,2.7,3.25,2.5,1.33,1.5,1.45,1.61,1,1.14,0.42,0.33,4.97,4.37,5.74,5.14,0.49,0.52,1,0,3
2.48,3.1,2.65,2.5,3.2,2.75,1.17,0.67,1.13,1.03,1.57,1.3,0.2,0.27,5.83,4.67,5.36,4.27,0.5,0.49,2,1,2
2.2,3.25,3,2.25,3.25,3.1,1.33,1.5,1.3,1.58,1.12,1.19,0.18,0.31,5.84,4.52,5.12,4.38,0.51,0.58,0,0,1
2.23,3.4,3.3,2.2,3.25,3.25,1.83,1.17,1.25,1.14,1.04,1.72,0.25,0.21,5.46,4.54,6.39,4.46,0.61,0.47,0,2,3
