FTR,B365H,B365D,B365A
2,8,5.5,1.33
0,1.18,7,15
1,2.7,3.4,2.55
0,1.33,5.5,9
2,2.2,3.4,3.3
2,3,3.3,2.38
0,1.75,3.75,4.6
1,2.75,3.4,2.45
1,2.9,3.4,2.38
0,1.33,5.5,9
0,1.95,3.4,4
2,2.7,3.3,2.63
0,1.2,7,13
2,4,3.8,1.85
0,2.8,3.6,2.38
0,1.67,4,5
0,1.7,4,4.5
0,3.75,3.5,2
2,5.5,4,1.6
0,1.29,5.5,11
2,3.8,3.75,1.91
1,1.2,7,13
1,2.15,3.4,3.5
2,2.3,3.3,3.2
0,1.3,6,8
2,1.53,4.75,5.25
2,3.4,3.4,2.15
2,13,8,1.17
2,2.2,3.75,3
2,4.75,3.8,1.73
1,2.9,3.25,2.5
1,1.73,3.8,4.75
2,3.6,4,1.85
2,1.4,4.5,8.5
0,1.17,8,15
0,2.5,3.8,2.55
0,1.91,3.3,4.33
0,1.65,4.5,4.5
0,1.75,3.8,4.5
2,6,5,1.45
0,1.91,3.6,4
0,1.67,3.75,5.5
2,2.15,4,2.88
0,1.29,5.5,11
2,7,4.5,1.45
0,1.53,4.2,6
1,4.33,3.75,1.8
2,6,4.5,1.5
1,2.2,3.5,3.25
1,1.91,3.4,4.2
1,3.25,3.4,2.2
0,1.14,8.5,15
2,1.8,3.8,4.2
2,4.2,4.2,1.73
1,1.67,4.33,4.33
0,1.36,5.25,7.5
2,1.91,3.75,3.8
0,1.4,5,7
2,7,4.75,1.44
0,2.55,3.75,2.55
2,5.5,4.5,1.53
2,1.57,3.8,6.5
2,1.55,4.2,5.75
0,1.3,5.75,9
0,1.45,4.5,7
0,8,5.75,1.33
0,2.9,4,2.15
1,2.75,3.1,2.7
2,3.6,3.5,2.05
2,2.9,3,2.63
2,6,4.75,1.45
2,4.5,3.8,1.73
0,1.91,3.6,3.8
0,1.62,3.8,6
0,1.67,4.2,4.75
1,2.2,3.1,3.6
1,3,3.8,2.2
1,3.2,3.75,2.1
1,3.5,3.4,2.1
0,2.9,3.3,2.4
0,1.33,5.75,7.5
2,2.38,3.4,3
0,1.83,3.75,4.2
0,1.4,5.25,6.5
0,1.45,4.5,7
1,1.67,3.75,5.5
1,3.2,3.4,2.25
2,6.5,5.25,1.4
0,1.85,3.6,4
0,1.5,4.5,6
2,4.5,3.75,1.75
2,1.65,4,5.25
0,1.13,8.5,19
0,2.15,3.5,3.3
1,4.2,4,1.75
2,2.15,3.5,3.3
0,1.25,6.5,9.5
1,1.55,4.2,5.5
0,1.29,5.75,11
2,5,3.8,1.67
2,3.2,3.6,2.2
0,2.05,3.6,3.5
2,2.75,3.25,2.6
1,3.1,3.6,2.2
0,1.1,11,19
0,3.8,3.5,2
0,2.8,3.2,2.6
0,4.2,3.75,1.85
1,12,6.5,1.22
2,2,3.75,3.5
0,3.1,3.75,2.2
0,1.18,7,17
2,2.45,3.2,3
0,1.33,5.25,9.5
0,4.75,4,1.73
0,1.57,4.2,5.5
1,1.25,5.75,13
0,1.4,5,6.5
0,1.85,3.6,4
1,5,3.7,1.73
1,1.73,4.2,4.2
2,3.4,3.5,2.05
0,3.6,3.3,2.1
0,2.55,3.5,2.63
2,3.2,3.6,2.15
2,3.2,3.5,2.2
2,4.5,3.75,1.75
2,2.3,3.8,2.8
2,2.7,3.4,2.55
0,2.38,3.3,3
0,1.25,5.5,12
0,1.45,4.5,6.5
0,1.8,3.6,4.5
2,2.75,3.25,2.6
0,1.91,3.75,3.8
1,3.4,4,1.95
0,1.73,4.2,4.2
0,1.25,6.5,9
