FTR,B365H,B365D,B365A,FCTH,FCTD,FCTA,L5GH,L5GA,GSPMH,GSPMA,GCPMH,GCPMH,L5MH,L5MD,L5MA,CSH,CSA,BPH,BPA,CGH,CGA
,3,3.3,2.38,3,3.3,2.4,1,2.6,1,1.67,1,0.67,3,0,2,0.2,0.43,50.4,52.57,9,6.71
,2.8,3,2.8,2.8,3,2.75,0.2,0.8,0.29,0.78,0.57,1.56,1,0,4,0.57,0.22,46.17,46.38,7.67,9.22
,2.88,3.4,2.45,2.85,3.4,2.45,1.6,1.8,2,1.5,1.5,2,1,0,4,0.38,0.12,55.33,53.57,9.71,7.14
,3.1,3.5,2.25,3.05,3.5,2.3,1.2,1.6,0.67,2.67,2,2,1,1,3,0.2,0.11,46,47.5,8.75,6.5
,2.5,4,2.5,2.5,4,2.5,1.33,2.5,1.78,2.29,0.67,1.29,4,0,1,0.44,0.29,47,61,11,15.5
,2.38,3.5,2.9,2.4,3.5,2.9,2.5,2,2.27,2.13,0.64,1.13,0,0,5,0.45,0.38,46.57,53,7,9.38
,2.5,3.5,2.6,2.5,3.5,2.6,1.83,1.57,2.18,1.44,0.94,1.11,0,2,3,0.35,0.33,52.91,52.14,8.58,11
,2.6,3.6,2.5,2.6,3.55,2.55,1.33,3.17,1.07,1.87,1.43,1.3,1,3,1,0.3,0.37,50.6,57.71,10.5,9.37
,2.2,3.4,3.2,2.2,3.4,3.2,0.83,0.5,1,0.5,1.6,2.5,1,0,4,0.3,0.25,46.8,46.8,8.6,11.67
,2.75,3.3,2.6,2.75,3.3,2.6,1.75,1.33,1.75,1.33,1.88,1.33,2,2,1,0.25,0.17,43,53.25,10.4,7.75
,2.9,3.5,2.38,2.9,3.5,2.4,1.17,1.33,1.44,1.67,1.22,1.44,2,0,3,0.22,0.22,45,48.29,9,7.86
,2.38,3.25,3.1,2.4,3.25,3.1,1,3.17,0.88,2.8,1.38,2.1,2,1,2,0.25,0.2,49.63,51.8,7,7.1
,2.88,3.6,2.3,2.85,3.5,2.35,1.17,2.17,1.06,2.19,1.25,1.63,1,2,2,0.38,0.25,44.33,52.29,8.67,8.71
,2.35,3.3,3,2.4,3.4,2.9,2,1,2,1,0.67,0.67,0,0,0,0.33,0.44,52.33,55.25,7.33,11.75
,2.3,3.8,2.8,2.3,3.75,2.85,1.17,1.5,1,1.3,1.63,1.9,0,0,5,0.25,0.3,51.38,54.4,7.13,6.7
,2.3,3.25,3.1,2.35,3.25,3.15,1,1.4,1,1.4,1.89,1.6,2,2,1,0.11,0.2,44,56,11.6,11.33
,3.5,2.9,2.38,3.5,2.9,2.4,0.5,0.83,0.38,1,0.75,1.11,1,2,2,0.5,0.33,46.86,53.89,7.29,9.22
