FTR,B365H,B365D,B365A,FCTH,FCTD,FCTA,L5GH,L5GA,GSPMH,GSPMA,GCPMH,GCPMH,L5MH,L5MD,L5MA,CSH,CSA,BPH,BPA,CGH,CGA
1,2.63,3.38,2.82,2.62,3.25,2.7,1.2,3,1.5,2,1.5,1.5,1,3,1,0.5,0.14,48.4,46.17,10.5,10.33
1,3.78,3.72,1.99,3.3,3.6,2.1,1.2,1.4,0,0,0,0,2,0,3,0.33,0.44,47.78,47,7,11
0,2.35,3.4,2.9,2.37,3.4,2.87,1.6,1.6,1.33,1.67,1,0.67,0,0,1,0.53,0.33,53.24,55.7,9.53,7.7
0,3,3.2,2.35,3,3.2,2.35,1.4,1.8,2.14,1.6,0.71,0.4,0,1,0,0.32,0.32,51.73,50.82,8.19,10.59
0,2.6,3.6,2.3,2.6,3.6,2.3,1.5,2.83,1.73,1.8,1.36,1,0,0,1,0.27,0.4,49.25,55.13,9,8.89
0,2.45,3.5,2.5,2.45,3.5,2.5,0.67,2.17,1.37,2.36,1.47,0.64,0,0,1,0.21,0.55,45,52.44,9.59,10.89
2,2.35,3.7,2.7,2.15,3.8,2.9,1.67,1.67,2,2.03,1.31,1.12,1,0,2,0.33,0.33,43.84,54.8,10.56,9.91
0,2.55,3.1,2.7,2.5,3.1,2.75,1.33,1.33,1.9,1.53,0.57,0.53,0,1,0,0.62,0.53,50.71,53,7.71,7.5
2,2.6,3.4,2.6,2.6,3.4,2.6,2,2.33,2.05,3.5,1.29,0.9,0,1,0,0.38,0.4,56.36,55.63,9,10.5
0,2.63,3.5,2.5,2.5,3.5,2.7,1.17,2.17,1.18,2.13,0.65,1.27,0,0,1,0.45,0.33,56.3,51.33,8.8,9.17
2,2.45,3.3,2.6,2.45,3.3,2.6,1,1.17,1.38,1.69,1.08,1.03,0,0,1,0.33,0.38,55.28,50.37,7.95,8.79
0,2.15,3.3,3.4,2.15,3.3,3.4,1.17,1.33,1.94,1.95,1.19,2.23,1,1,0,0.19,0.12,60.13,56.33,7.76,7.33
1,2.75,3.7,2.3,2.6,3.6,2.45,1.17,1.5,1.89,1.85,0.94,0.77,0,0,1,0.39,0.38,54.57,60.09,10.07,10.18
1,9.4,5.9,1.34,8.5,5.5,1.3,1.4,1.8,1.5,2,2,0.5,0,1,4,0.44,0.33,52.38,56.33,7.88,9.17
0,1.74,4,5.05,1.72,3.9,4.5,1,1.2,0.5,1,2,0.5,2,2,1,0.22,0.29,53.78,51,6.89,7.29
